username,2025-06-30,2025-07-01,2025-07-02,2025-07-03,2025-07-04,2025-07-05,2025-07-06,2025-07-07,2025-07-08,2025-07-09,2025-07-10,2025-07-11,2025-07-12,2025-07-13,2025-07-14,2025-07-15,2025-07-16,2025-07-17,2025-07-18,2025-07-19,2025-07-20,2025-07-21,2025-07-22,2025-07-23,2025-07-24,2025-07-25,2025-07-26,2025-07-27,2025-07-28,2025-07-29
Vlad_Lazarev79,2554,2556,2556,2556,2556,2556,2556,2556,2556,2556,2556,2556,2556,2556,2570,2579,2583,2588,2585,2585,2585,2585,2585,2585,2585,2585,2585,2595,2595,2595
yuuki-asuna,,,,,,,,,,,,,,,,,,,,,,,,,2539,2552,2570,2574,2574,2579
Lucon2000,2539,2539,2539,2540,2540,2537,2540,2540,2535,2529,2529,2533,2533,2526,2535,2535,2519,2519,2519,2523,2526,2531,2535,2541,2547,2539,2539,2539,2539,2539
matteorf2b,,,,,,,,,,,2367,2370,2377,2373,2373,2373,2373,2385,2415,2438,2443,2465,2470,2470,2479,2487,2482,2485,2487,2499
CoD_Dragon,2494,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2491,2496,2499,2495,2501,2505,2507,2507,2511,2501,2501,2501,2489,2484,2484,2484,2484
sabke,2497,2514,2499,2493,2493,2495,2495,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2496,2490,2491,2491,2483,2483,2483,2483,2470,2470
Oakley666,,,,,,,,,,,,,,,,,,,,,,,2070,2276,2331,2331,2464,2456,2467,2467
ChessTheory64,,,2497,2504,2508,2508,2508,2499,2499,2506,2499,2499,2484,2484,2484,2484,2484,2484,2484,2484,2484,2473,2473,2473,2473,2465,2465,2465,2454,2454
Cyberdrunk,,,,,,,,,,,,2407,2419,2419,2419,2419,2419,2412,2424,2424,2424,2424,2424,2424,2424,2424,2432,2451,2451,2451
White_Robot,,,2385,2385,2385,2385,2385,2378,2360,2360,2360,2360,2360,2393,2424,2424,2426,2426,2426,2426,2426,2426,2426,2426,2426,2426,2436,2436,2436,2436
